set,image_path,label
TRAIN,gs://art_translate_1/gothic/,gothic
TRAIN,"gs://art_translate_1/gothic/'Dormition of the Virgin' by Gherardo Starnina, c. 1404-1408, Philadelphia Museum of Art.jpg",gothic
TRAIN,"gs://art_translate_1/gothic/'Madonna and Child' attributed to Ambrogio Lorenzetti, El Paso Museum of Art.JPG",gothic
TRAIN,"gs://art_translate_1/gothic/'Saint Nicholas of Bari', painting by Gherardo di Jacopo Starna, c. 1422, El Paso Museum of Art.jpg",gothic
TRAIN,"gs://art_translate_1/gothic/'St. John the Baptist', painting by Jacopo del Casentino and assistant, c. 1330, El Paso Museum of Art.jpg",gothic
TRAIN,"gs://art_translate_1/gothic/'St. Lucy', painting by Jacopo del Casentino and assistant, c. 1330, El Paso Museum of Art.jpg",gothic
TRAIN,"gs://art_translate_1/gothic/'Virgin and Child', tempera on panel painting by Antonio Veneziano, c. 1380, Museum of Fine Arts, Boston.jpg",gothic
TRAIN,gs://art_translate_1/gothic/001 MS 65 PG1.jpg,gothic
TRAIN,gs://art_translate_1/gothic/002 MS 65 PG1 V.jpg,gothic
TRAIN,gs://art_translate_1/gothic/003 MS 65 PG2.jpg,gothic
TRAIN,gs://art_translate_1/gothic/004 MS 65 PG2 V.jpg,gothic
TRAIN,gs://art_translate_1/gothic/005 MS 65 F1.jpg,gothic
TRAIN,gs://art_translate_1/gothic/006 MS 65 F1 V.jpg,gothic
TRAIN,gs://art_translate_1/gothic/007 MS 65 F2.jpg,gothic
TRAIN,gs://art_translate_1/gothic/008 MS 65 F2 V.jpg,gothic
TRAIN,gs://art_translate_1/gothic/009 MS 65 F3.jpg,gothic
TRAIN,gs://art_translate_1/gothic/010 MS 65 F3 V.jpg,gothic
TRAIN,"gs://art_translate_1/gothic/010 le vite, pietro laurati.jpg",gothic
TRAIN,gs://art_translate_1/gothic/011 MS 65 F4.jpg,gothic
TRAIN,gs://art_translate_1/gothic/012 MS 65 F4 V.jpg,gothic
TRAIN,gs://art_translate_1/gothic/013 MS 65 F5.jpg,gothic
TRAIN,"gs://art_translate_1/gothic/013 le vite, ambrogio lorenzetti.jpg",gothic
