set,image_path,label
TRAIN,gs://art_translate_1/renaissance/,renaissance
TRAIN,gs://art_translate_1/renaissance/24_hours_clock.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Bacchanal_1520-1530.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Bishop_Saint_1425.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Blonde_Woman.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Grotesque_Head_1502.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Knight_of_Malta_1510-1515.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Lady_with_a_Drawing_of_Lucreti.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Man.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Man_with_a_Pair_of_Dividers.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Nobleman_on_a_Balcony_1525.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Personification_Of_Geometry.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Satyr_mourning_over_a_Nymph_1.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Sibyl_1483-1486.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Sitting_Scrivener_1479-1480.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Soldier_1505-1510.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Turkish_Janissary_1479-1481.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Turkish_Woman.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Virgem_em_Majestade.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Woman_1500-1510.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Young_Lady_of_Fashion_1464.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Young_Man_1500.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Young_Roman_Woman.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_Youth_Crowned_with_Flowers.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_man_with_letter_1510.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_plan_of_Imola_1502.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_seated_man_and_studies_and_no.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_sibyl_and_a_prophet_1502.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_study_for_an_equestrian_monume.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/A_woman_1530-1535.jpg,renaissance
TRAIN,gs://art_translate_1/renaissance/Abraham.JPG,renaissance
