set,image_path,label
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/1807_Friedland_1861-1875.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/1814_Campagne_de_France_Napole.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Bath_Woman_Bathing_Her_Feet.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Bather.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Child_Learning_to_Read.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Childrens_Party_the_Children.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Classical_Courtship_1853.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Collaboration.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Conversation_Piece.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Dance_By_The_Sea.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Dangerous_Game_1880.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Day_Dream.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Eunuchs_Dream.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Family_Scene.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Favourite_Fan_1889.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Fine_Point.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Fishing_Lugger_and_Customs_Boa.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Garden_1869.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Garland_1888.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Girl.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Girl_Feeding_Peacocks_1863.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Girl_with_a_Basket_of_Fruit.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Glória_De_São_Luiz_Gonzaga.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Head_of_a_Young_Man_1845.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Helping_Hand_1884.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_La_Fontaine_Alger.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Legend_of_Saint_Patrick_1877.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Magyarok_Indulása_Az_Új_Hazába.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Morte_De_São_Luiz_Gonzaga.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Musician_1867.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Naughty_Maid.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Nymph_by_a_Fountain.jpg,academicism
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/academicism/A_Peacock_and_Doves_in_a_Garden.jpg,academicism
