set,image_path,label
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/24_hours_clock.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Bishop_Saint_1425.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Man_with_a_Pair_of_Dividers.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Sibyl_1483-1486.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Sitting_Scrivener_1479-1480.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Turkish_Janissary_1479-1481.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Turkish_Woman.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Virgem_em_Majestade.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/A_Young_Lady_of_Fashion_1464.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Abraham.JPG,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Abraham_Served_by_Three_Angels_.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Adam_and_Eve_banished_from_Parad.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Adoration_Of_The_Child_With_Sain.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Adoration_and_Annunciation.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Adoration_of_the_Child.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Adoration_of_the_Child[1].jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Adoration_of_the_Child_1435-143.jpg,early-renaissance
TRAIN,gs://art-translated-rvf/art-translate-rvf/realey/early-renaissance/Adoration_of_the_Child_1435[1].jpg,early-renaissance
