set,image_path,label
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/18th-century_costume_Victoria_P.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/AIR-ORIENT_1935.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/ANGLETERRE_1934.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/AUTOPORTRAIT_1940.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/AU_BUCHERON_1923.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_Boca_da_Esfinge_Lisboa_Capa.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_Dream.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_Long_Way_from_Home_1937.png,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_Nude_Sketch_of_Gill’s_Daughter.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_Pair_of_Wall_Panels_1935.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_Planície_Heróica_Capa.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_color_sketch_of_a_card_Heracl.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/A_queen_The_Woman_&_the_Devil.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Above_Lake_Superior.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Abstract_Design_1972.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Abstract_Design_of_a_Mountanous_.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Abstract_Sailboat.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Ace_Of_Clubs.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Acrophobia.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Adam_and_Eve.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Adam_and_Eve_1932.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Adoration.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[10].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[1].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[2].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[3].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[4].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[5].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[6].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[7].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[8].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Advertisment_for_Norine[9].jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Africa_1937.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/After_the_Rain.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Agave.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Allegorie_du_Tissu_1937.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Allegory_of_Summer_1936-1937.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_A.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_B.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_C.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_D.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_E.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_F.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_G.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_H.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_I.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_J.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_K.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_L.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_M.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_N.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_O.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_P.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_Q.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_R.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_T.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_U.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_V.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_W.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_X.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_Y.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Alphabet_Z.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Amassiah.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Amethyst_1946.jpg,art-deco
TRAIN,gs://art-translated-rvf/art-translate-rvf/fakey/art-deco/Amoureuse.jpg,art-deco
