set,image_path,label
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#10_March_10_1963_NYC.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#12_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#14D_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#16F_1963.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#16J_1963.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#17F_1963.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#17_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#20_1962.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#21C_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#21_Saturday_October_17_1964_Fr.jpeg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#22_Albuquerque.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#28_1963.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#29C_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#2_Pri-Rain_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#3_March_10_1963_NYC.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#4_March_29_1963_NYC.jpeg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#59_1981.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#5_April_28_1963_NYC.jpeg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#6_April_28_1963_NYC.jpeg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#70_1983.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#8A_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#9A_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#_1_NYC.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#_1_October_3_1972.jpeg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/#_9.jpeg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/009.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/0_Through_9.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/10_Stones_1989.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/11_Stones_1989.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/130_1972.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/15_April_1962_1962.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/17_February_1948_1948.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1944-G_1944.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1944-N_No_1_1944.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1945-H_1945.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1947-H-No_3_1947.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1947-R-No_1_1947.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1947-S_1947.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1947-Y-No_2_1947.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1949-A-No1_1949.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1949_No_1_1949.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1980_-_D4_1980.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1_August_1948_1948.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/1_January_1949_1949.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/20_November_1959_1959.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/21175_1975.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/22_February_1960_1960.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/25478_1978.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/27_October_1949_1949.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/2_Impressions_Swatch_1992.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/2_to_the_Moon_1961.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/3069_White_Dots_on_an_Oval_Backg.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/3_Cubis_1964.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/3_October_1962_1962.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/4.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/7--7--N_1992.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/75_Stones_1989.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/77R-‘84_1984.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/7R-15_Where_R=Ryoanji_1983.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/88_VA_17_1988.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/89a_1989.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/89m_1989.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/93E_1993.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/9th_Street_1978.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/ART_CAR.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Day_at_the_Races.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Green_Thought_in_a_Green_Shade.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Long_Day_1979.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Near_Distance_1961.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Next_Amitie_1958.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Perfect_Equal_Area_I_1960.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Time_for_Fear_1949.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Timeless_Moment_1954.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_Well_1966.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_World_in_Itself_1961.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/A_gesture_from_one_man_to_anothe.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abduction_A_1961.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abduction_By_Boat_1963.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Above_Deep_Waters_1959.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abraham_Abraham!_Genesis_222.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abraham_pater_multarem_gentium_.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abstract.jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abstract[1].jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abstract[2].jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abstract[3].jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abstract[4].jpg,abstract-expressionism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/5_abstractish/abstract-expressionism/Abstract[5].jpg,abstract-expressionism
