set,image_path,label
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/44.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/45.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/46.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/47.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/54.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/55.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/56.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/57.JPG,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/A_Scene_of_Exodus_with_Women_and.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/A_kneeling_saint_in_nuns_robes.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/Abraham_and_the_Three_Angels.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/Abrahams_Sacrifice.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/Adam_and_Eve_at_Work_1550.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/Adonis_held_back_by_Venus_while_.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/Aetas_Ferrea_The_Iron_Age.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/Alexander_the_Great_Kneeling_Bef.jpg,mannerism-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/mannerism-late-renaissance-drawing/Allegoria_Della_Virtù_Diseg[1].jpg,mannerism-drawing
