set,image_path,label
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/1807_Friedland_1861-1875.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/1814_Campagne_de_France_Napole.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Bath_Woman_Bathing_Her_Feet.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Bather.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Child_Learning_to_Read.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Childrens_Party_the_Children.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Classical_Courtship_1853.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Collaboration.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Conversation_Piece.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Dance_By_The_Sea.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Dangerous_Game_1880.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Day_Dream.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Eunuchs_Dream.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Family_Scene.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Favourite_Fan_1889.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Fine_Point.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Fishing_Lugger_and_Customs_Boa.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Garden_1869.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Garland_1888.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Girl.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Girl_Feeding_Peacocks_1863.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Girl_with_a_Basket_of_Fruit.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Glória_De_São_Luiz_Gonzaga.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Head_of_a_Young_Man_1845.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Helping_Hand_1884.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_La_Fontaine_Alger.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Legend_of_Saint_Patrick_1877.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Magyarok_Indulása_Az_Új_Hazába.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Morte_De_São_Luiz_Gonzaga.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Musician_1867.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Naughty_Maid.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Nymph_by_a_Fountain.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Peacock_and_Doves_in_a_Garden.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Pensive_Moment_1896.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Plate_Of_Cakes.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Playful_Burden.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Portrait.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Portrait_Of_A_Young_Lady.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Reader_1877.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Reverie_1892.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Roman_Lady_1858.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Roman_Slave_Market.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Roman_Triumphal_Entry_Possibl.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Saint_from_the_Jackdaw_of_Rh.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Shepherd_Playing_Flute_1897.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Sketch_for_a_Fresco.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Sketch_for_a_Fresco[1].jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Sleeping_Girl_1875.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Soul_Taken_away_by_an_Angel_1.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Still_Life_With_Fruit_Roses_A.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Study_in_Yellow_1880.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Summer_Night_1890.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Sweet_Lady.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Tale_of_1001_Nights.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Third-Rate_Entering_Port_Mahon.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Venetian_Bather_1889.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Venus_1869.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Viennese_Beauty_1899.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Watermelon_and_Other_Fruit_by_.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Widow_1840.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Woman_with_an_Urn.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Workbasket_1879.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Young_Beauty.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Young_Beauty_1882.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Young_Woman_in_a_Rose_Garden_.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_Young_Woman_with_a_Parasol.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_degolação_de_São_João_Batista.jpg,academicism
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/academicism/A_morning_calm.jpg,academicism
