set,image_path,label
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/._early-renaissance-drawing,6_renaissance
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/._early-renaissance-painting,6_renaissance
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Adoration_of_the_Child_1495.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Apostle_and_Youth.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Confirmation_of_the_Rule_1483.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Head_of_an_Old_Man_1488.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Illustration_to_the_Divine_Comed.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Multi_Barrel_Gun_1481.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Naked_child_since mid body_arm.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Paradise_Canto_VI_1490.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Scene_of_peace_offerings Noahs.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Sketch_of_deer_doe.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Sketch_of_figures_and_scenes_fro.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Sketch_of_young_deer.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Sleeve_Study_for_the_Annunciatio.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Standing_man.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Stories_of_Christs_Passion[1] copy.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._Stories_of_Christs_Passion[1].jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._The_Battle_of_Sea_Gods_1480.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._The_Luxury_1420.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._The_Study_of_Drapery_of_a_Seated.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._The_Three_Dead_and_Three_Loud.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._The_Twelve_Apostles_in_a_Barrel_.jpg,early-renaissance-drawing
UNASSIGNED,gs://art-translated/1_a2o/3_twodimensional/6_renaissance/early-renaissance-drawing/._The Flood.jpg,early-renaissance-drawing
